epoch,step,train_loss,train_mae,train_mse,val_loss,val_mae,val_mse
19,3549,-0.913646399974823,9.021337509155273,195.1971893310547,,,
19,3599,-1.621792197227478,5.168184280395508,38.2232666015625,,,
19,3599,,,,-1.1803035736083984,7.966800689697266,110.79219055175781
20,3649,-1.2737177610397339,6.999598503112793,85.19267272949219,,,
20,3699,-1.5637881755828857,6.022921562194824,43.684940338134766,,,
20,3749,-1.4450011253356934,5.8219685554504395,57.42735290527344,,,
20,3779,,,,-0.8045845627784729,12.475747108459473,261.2833251953125
21,3799,-1.2124801874160767,7.949196815490723,98.09342956542969,,,
21,3849,-1.3148233890533447,7.438346862792969,77.49908447265625,,,
21,3899,-1.0189690589904785,10.119787216186523,153.16197204589844,,,
21,3949,-1.0170074701309204,10.150192260742188,153.8553466796875,,,
21,3959,,,,-1.5977767705917358,5.569937705993652,41.08257293701172
22,3999,-0.6778326034545898,15.639939308166504,335.95989990234375,,,
22,4049,-1.2406073808670044,7.370748519897461,91.94171142578125,,,
22,4099,-0.9100043773651123,11.01001262664795,196.84103393554688,,,
22,4139,,,,-1.0092589855194092,9.91174602508545,162.2377166748047
23,4149,-1.536436676979065,5.41387939453125,46.52467727661133,,,
23,4199,-0.629737138748169,14.388242721557617,375.3037109375,,,
23,4249,-1.0613679885864258,9.215085983276367,138.9158935546875,,,
23,4299,-1.6668027639389038,5.097749710083008,34.46015548706055,,,
23,4319,,,,-1.5671720504760742,5.639039039611816,44.207149505615234
24,4349,-1.359623908996582,6.510252952575684,69.9030532836914,,,
24,4399,-1.3098069429397583,8.146757125854492,78.39945983886719,,,
24,4449,-1.4767897129058838,6.156594276428223,53.374061584472656,,,
24,4499,-0.5610916018486023,16.62076187133789,439.5704345703125,,,
24,4499,,,,-0.926027774810791,10.789507865905762,197.7110137939453
25,4549,-1.6682833433151245,5.009737491607666,34.342872619628906,,,
25,4599,-1.313392996788025,7.174226760864258,77.75476837158203,,,
25,4649,-1.7415249347686768,4.6597747802734375,29.013168334960938,,,
25,4679,,,,-1.6111897230148315,5.421813011169434,39.89543914794922
26,4699,-1.0516955852508545,9.346126556396484,142.04449462890625,,,
26,4749,-1.6398226022720337,5.314858436584473,36.66886901855469,,,
26,4799,-1.1414254903793335,8.12759017944336,115.52994537353516,,,
26,4849,-1.5658202171325684,5.540262222290039,43.48102951049805,,,
26,4859,,,,-1.4860076904296875,6.171268939971924,53.3048210144043
27,4899,-1.1407195329666138,8.771039962768555,115.71788787841797,,,
27,4949,-0.8877360820770264,9.36731243133545,207.19720458984375,,,
27,4999,-1.1348193883895874,7.75955867767334,117.30070495605469,,,
27,5039,,,,-0.8281978964805603,12.216069221496582,246.65676879882812
28,5049,-0.8392107486724854,13.402877807617188,231.69105529785156,,,
28,5099,-0.6448944807052612,15.596467971801758,362.4311828613281,,,
28,5149,-1.3193471431732178,7.53220796585083,76.69602966308594,,,
28,5199,-1.3909245729446411,6.1797075271606445,65.042236328125,,,
28,5219,,,,-1.1106220483779907,9.006101608276367,127.41297912597656
29,5249,-1.2007144689559937,8.153566360473633,100.78723907470703,,,
29,5299,-1.4161345958709717,5.8518242835998535,61.3741340637207,,,
29,5349,-1.5566449165344238,6.064460277557373,44.409427642822266,,,
29,5399,-1.5268956422805786,5.999476432800293,47.558082580566406,,,
29,5399,,,,-1.5982954502105713,5.500269889831543,41.121334075927734
30,5449,-0.8091717958450317,12.867935180664062,248.28369140625,,,
30,5499,-0.5367757081985474,15.684812545776367,464.88372802734375,,,
30,5549,-1.3920173645019531,6.902869701385498,64.8787841796875,,,
30,5579,,,,-0.9176740050315857,10.884187698364258,201.7967987060547
31,5599,-1.6054091453552246,5.549864768981934,39.692718505859375,,,
